,,,,,,,,,,,,,,,,init_global_and_expr_for_insn
,,,,,,,,,,,,,,,,modified_in_p
,,,,,,,,,,,,,,,,df_free_collection_rec
,,,,,,,,,,,,,,,,ira_traverse_loop_tree
,,,,,,,,,,,,,,,,execute_copy_prop
,,,,,,,,,,,,,,,,_cpp_lex_direct
,,,,,,,,,,,,,,,,cpp_get_token
,,,,,,,,,,,,,,,,recog
,,,,,,,,,,,,,,,,state_transition
,,,,,,,,,,,,,,,,get_value_range
,,,,,,,,,,,,,,,,c_fully_fold
,,,,,,,,,,,,,,,,walk_gimple_op
,,,,,,,,,,,,,,,,find_comparison_args
,,,,,,,,,,,,,,,,reemit_notes
,,,,,,,,,,,,,,,,lex_identifier
,,,,,,,,,,,,,,,,lhs_of_dominating_assert
,,,,,,,,,,,,,,,,assign_hard_reg
,,,,,,,,,,,,,,,,rtx_equal_p_cb
,,,,,,,,,,,,,,,,compute_may_aliases
,,,,,,,,,,,,,,,,init_alias_analysis
,,,,,,,,,,,,,,,,record_reg_classes
,,,,,,,,,,,,,,,,thread_across_edge
,,,,,,,,,,,,,,,,add_control_edge
,,,,,,,,,,,,,,,,gimple_redirect_edge_and_branch
,,,,,,,,,,,,,,,,_succ_iter_cond
,,,,,,,,,,,,,,,,try_bitmap_cache
,,,,,,,,,,,,,,,,_succ_iter_cond
,,,,,,,,,,,,,,,,coalesce_ssa_name
,,,,,,,,,,,,,,,,et_split
,,,,,,,,,,,,,,,,confirm_change_group
,,,,,,,,,,,,,,,,sched_analyze_reg
,,,,,,,,,,,,,,,,propagate_freq
,,,,,,,,,,,,,,,,simplify_subreg
,,,,,,,,,,,,,,,,ssa_redirect_edge
,,,,,,,,,,,,,,,,keep_with_call_p
,,,,,,,,,,,,,,,,build_allocno_conflicts
,,,,,,,,,,,,,,,,fold_cond_expr_cond
,,,,,,,,,,,,,,,,coalesced_pseudo_reg_freq_compare
,,,,,,,,,,,,,,,,ix86_adjust_cost
,,,,,,,,,,,,,,,,free_succs_info
,,,,,,,,,,,,,,,,compute_use_by_pseudos
,,,,,,,,,,,,,,,,has_dependence_p
,,,,,,,,,,,,,,,,eliminate_const_or_copy
,,,,,,,,,,,,,,,,deps_join
,,,,,,,,,,,,,,,,do_warn_unused_result
,,,,,,,,,,,,,,,,calculate_live_on_exit
,,,,,,,,,,,,,,,,gimple_get_lhs
,,,,,,,,,,,,,,,,special_function_p
,,,,,,,,,,,,,,,,sel_bb_head_p
,,,,,,,,,,,,,,,,verify_changes
,,,,,,,,,,,,,,,,cselib_invalidate_rtx_note_stores
,,,,,,,,,,,,,,,,equiv_constant
,,,,,,,,,,,,,,,,set_current_def
,,,,,,,,,,,,,,,,estimate_operator_cost
,,,,,,,,,,,,,,,,try_split
,,,,,,,,,,,,,,,,cselib_subst_to_values
,,,,,,,,,,,,,,,,tree_expr_nonzero_warnv_p
,,,,,,,,,,,,,,,,get_attr_prefix_rex
,,,,,,,,,,,,,,,,c_parser_cast_expression
,,,,,,,,,,,,,,,,prepare_insn_expr
,,,,,,,,,,,,,,,,sreal_add
,,,,,,,,,,,,,,,,try_crossjump_bb
,,,,,,,,,,,,,,,,df_bb_refs_collect
,,,,,,,,,,,,,,,,simple_iv_increment_p
,,,,,,,,,,,,,,,,bookkeeping_can_be_created_if_moved_through_p
,,,,,,,,,,,,,,,,rtl_block_ends_with_call_p
,,,,,,,,,,,,,,,,phi_alternatives_equal
,,,,,,,,,,,,,,,,gimple_find_edge_insert_loc
,,,,,,,,,,,,,,,,validate_replace_rtx_1
,,,,,,,,,,,,,,,,validate_equiv_mem
,,,,,,,,,,,,,,,,df_maybe_reorganize_def_refs
,,,,,,,,,,,,,,,,regstat_init_n_sets_and_refs
,,,,,,,,,,,,,,,,fini_pre
,,,,,,,,,,,,,,,,ira_build
,,,,,,,,,,,,,,,,df_md_local_compute
,,,,,,,,,,,,,,,,is_gimple_reg
,,,,,,,,,,,,,,,,assign_dfs_numbers
