,GVN,,LICM,,DSE,,LV,,SLP,,,
Functions,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,Performance improvement,Precision improvement
bitmap_clear_bit,12.7,30.05,0,0,0,0,0,0,0,0,0.02,0
gsi_start_phis,0,80,0,0,0,0,0,0,0,0,0,0
calc_dfs_tree_nonrec,50.25,50.43,609.22,84.42,72,48,0,0,0,100,0.06,19.9
inverted_post_order_compute,71.98,34.27,31.29,-9.12,0,16.67,0,0,0,0,0.14,18.7
calc_idoms,350.48,59.5,0,0,0,0,0,0,0,0,0.03,0
regstat_compute_ri,161.48,2.89,0,0,0,0,0,0,0,0,-0.08,0
init_alias_analysis,-11.53,9.73,9.73,9.24,0,15.38,0,0,0,0,0.01,10.8
post_order_compute,35.16,56.3,0,0,0,0,0,0,0,0,-0.05,0
df_reorganize_refs_by_reg,55.91,23.55,0,0,0,0,0,0,0,0,-0.04,0
extract_insn,7.7,41.48,0,0,0,0,222.23,0,0,0,-0.05,0
sbitmap_a_or_b,42.11,38.2,0,0,0,0,0,0,0,0,0,0
ira,11.33,24.07,569.17,-6.4,0,35.09,0,0,0,0,0.03,3.5
bitmap_clear,0,20,0,0,0,0,0,0,0,0,0,0
single_def_use_enter_block,39.64,21.02,1883.75,-16.23,0,75,0,0,0,0,0.04,15.9
rest_of_handle_dse,79.59,-7.23,210.9,9.69,86.96,-2.23,0,0,0,0,0.03,2.4
compare_values_warnv,-8.34,42.25,0,0,0,0,0,0,0,0,-0.03,0
pool_alloc,36,9.06,0,0,0,0,0,0,0,0,-0.01,0
perform_tree_ssa_dce,304.66,-22.08,498.67,14.7,120.2,-12,0,0,0,0,0.04,2.6
constrain_operands,9.66,13.81,185.99,21.85,-9.1,17.72,500,-41.66,0,0,0.02,6.1
vrp_visit_phi_node,71.17,17.74,234.7,55.78,928.58,-55.81,0,0,0,39.28,0.06,7.3
htab_find_slot_with_hash,45.46,-6.11,0,0,0,0,0,0,0,0,-0.13,0
df_live_confluence_n,0,73.13,0,0,0,0,0,0,0,0,-0.03,0
record_reg_classes,149.81,-3.14,545.61,-33.36,14.29,30.95,-4.35,-2.97,0,0,0.01,6.9
process_bb_node_lives,72.49,0.22,0,0,0,0,3464.52,-21.95,0,0,-0.01,0
execute_pre,116.31,9.07,609.94,11.53,14.08,22.28,0,0,418.52,-5,0.12,4.6
bitmap_obstack_free,50,19.44,0,0,0,0,0,0,0,0,0,0
gimplify_expr,956.42,-2.9,0,0,0,0,0,0,0,0,0.02,-0.1
ssa_propagate,21.89,19.1,0,0,0,0,0,0,0,0,-0.02,0
tree_int_cst_lt,0,52.73,0,0,0,0,0,0,0,0,0.01,0
df_ref_create_structure,154.55,71.26,0,50,-9.1,27.27,0,0,0,0,0.03,15.5
cse_insn,702.59,-0.81,1010.81,-11.43,10.45,3.05,1309.53,-26.55,-4,0,0.07,1
remove_unused_locals,839.57,-23.22,706.52,14.53,60,40,0,0,0,0,0.05,8.7
any_condjump_p,0,71.42,0,0,0,0,0,0,0,0,0,0
shorten_branches,-0.86,7.84,0,0,0,0,0,0,0,0,-0.02,0
mark_jump_label_1,51.86,58.26,0,0,0,0,0,0,0,0,-0.07,0
rewrite_update_enter_block,22.87,30.88,652.39,67.53,141.87,14.64,0,0,0,0,0.06,5.8
df_simulate_one_insn_backwards,10.3,35,0,0,0,0,0,0,0,0,-0.02,0
delete_unmarked_insns,4.09,51.2,0,0,0,0,0,0,0,0,0.01,0
compute_idf,47.62,67.03,0,0,0,0,0,0,0,0,-0.01,0
run_scc_vn,103.55,21.23,905.03,-26.28,1464.52,-55.44,0,0,0,0,0.06,10.5
ggc_alloc_stat,36.56,26.3,0,0,0,0,0,0,0,0,-0.05,0
df_live_transfer_function,0,29.69,0,0,0,0,0,0,0,0,0,0
mark_all_vars_used_1,37.5,47.73,0,0,0,0,0,0,0,0,0.03,7.6
vrp_meet,3.55,27.71,0,0,69.24,46.15,0,0,0,65.21,0.04,3.1
fold_binary_loc,47.79,-2.65,0,0,0,0,0,0,0,0,0.1,0
df_simulate_defs,0,84.61,0,0,0,0,0,0,0,0,0,0
spec_qsort,127.87,12,0,0,0,0,-4.17,0,0,0,-0.02,0
graphds_dfs,74.53,66.47,0,0,0,0,1400,0,0,0,0,0
last_stmt,0,50,0,0,0,0,0,0,0,0,0,0
hash_rtx_cb,50.91,-7.24,0,0,0,0,0,0,0,0,-0.02,0
regstat_compute_calls_crossed,402.17,-2.04,1244.45,10.61,0,0,0,0,0,0,0.02,18.5
df_ref_compare,0,34.18,0,0,0,0,0,0,0,0,-0.01,0
tree_strip_sign_nop_conversions,17.4,35.21,0,0,0,0,0,0,0,0,-0.01,0
df_ref_equal_p,-21.96,51.12,0,0,0,0,0,0,0,0,0.02,18.2
may_trap_p_1,-0.44,6.15,0,0,0,0,0,0,0,0,-0.02,0
vinsn_create,24,17.61,6.82,31.72,16.67,33.33,0,0,0,80,0.03,9.6
rebuild_jump_labels,-9.16,13.77,35.36,27.51,0,0,0,0,0,0,0.04,2.6
delete_trivially_dead_insns,-18.89,27.79,0,0,0,0,0,0,0,0,-0.02,0
df_simulate_fixup_sets,0,30,0,0,0,0,0,0,0,0,0,0
bb_note,0,85.71,0,0,0,0,0,0,0,0,0,0
walk_tree_1,7.85,28.47,0,0,0,0,0,0,0,0,-0.01,0
df_ref_change_reg_with_loc_1,186.8,51.82,0,0,0,0,0,0,0,0,-0.02,0
substitute_and_fold,41.53,9.75,0,0,0,0,0,0,0,0,0,0
note_stores,-4.77,36.42,0,0,0,0,0,0,0,0,-0.01,0
next_active_insn,0,80,0,0,0,0,0,0,0,0,0,0
prescan_insns_for_dce,-31.74,38.04,0,0,0,0,0,0,0,0,-0.03,0
count_reg_usage,-2.5,39.49,22.23,26.06,0,0,0,0,0,0,0.03,2.7
simulate_stmt,67.93,6.32,0,0,0,0,0,0,0,0,-0.06,0
flow_loops_find,78.49,54.49,0,0,0,0,0,0,0,0,-0.05,0
for_each_rtx_1,-9.1,55,0,0,0,0,0,0,0,0,0.01,0
execute_vrp,508.88,-15.68,281.26,14.74,9.1,28.46,0,0,0,100,0.03,5.2
reload,12.08,10.84,0,0,0,0,3800,-6.49,0,0,-0.03,0
side_effects_p,0,83.33,0,0,0,0,0,0,0,0,-0.05,0
noop_move_p,0,34.78,0,0,0,0,0,0,0,0,0.02,0
df_compact_blocks,56,48.93,0,0,0,0,0,0,0,0,0.04,0
df_lr_confluence_n,0,73.53,0,0,0,0,0,0,0,0,0,0
cleanup_tree_cfg_bb,193.54,-1.76,0,0,0,0,0,0,0,0,-0.1,0
gimple_call_flags,33.34,81.48,0,0,0,0,0,0,0,0,0.05,22.8
operand_equal_p,25.03,27.73,200,66.67,0,0,0,0,0,0,0.07,4.9
df_insn_refs_collect,0.76,28.27,0,0,0,0,0,0,0,0,-0.04,0
thread_across_edge,158.97,-0.83,246.36,74.37,25,70.72,0,0,0,0,0.01,4.8
pre_and_rev_post_order_compute,-1.42,56.45,0,0,0,0,0,0,0,0,-0.01,0
rest_of_handle_gcse2,53.82,20.23,0,0,0,0,0,0,0,0,0.03,0
is_gimple_min_invariant,0,50,0,0,0,0,0,0,0,0,0,0
ix86_decompose_address,9.04,1.13,0,0,0,0,0,0,0,0,0,0
prologue_epilogue_contains,0,10.53,0,0,0,0,0,0,0,0,0.01,0
df_uses_record,-6.21,63.23,98.64,55.97,0,0,0,0,0,0,0.02,5.1
calculate_dominance_info,100.76,38.38,172.73,66.52,0,40,0,0,0,0,0.06,17.4
update_ssa,20.49,10.08,0,0,0,0,0,0,0,0,-0.01,0
split_all_insns,-13.73,43,0,0,0,0,0,0,0,0,-0.02,0
df_ref_record,23.81,51.28,0,0,0,0,0,0,0,0,-0.09,0
bitmap_obstack_alloc_stat,0,2.56,0,0,0,0,0,0,0,0,0,0
find_reloads,45.96,0.88,124.88,-11.37,4.13,11.83,0,0,0,0,0.09,0.9
mark_irreducible_loops,-1.1,60.37,0,0,0,0,0,0,0,0,0.08,0
pool_free,0,0,0,0,0,0,0,0,0,0,0,0
cselib_invalidate_regno,241.18,-3.36,0,0,0,0,0,0,0,0,0.04,0
et_set_father,376.48,64.78,0,0,0,0,0,0,0,0,-0.02,0
df_simulate_uses,0,76.92,0,0,0,0,0,0,0,0,0,0
deps_analyze_insn,11.83,15.49,0,0,0,0,0,0,0,0,0,0
mark_control_dependent_edges_necessary,9.88,55.42,0,0,0,0,0,0,0,0,-0.01,0
cse_main,183.9,-10.85,0,0,0,0,455.56,15.33,0,0,-0.11,0
avoid_constant_pool_reference,0,50,0,0,0,0,0,0,0,0,-0.02,0
sched_analyze_2,7.8,20.86,351.22,22.96,0,0,0,0,0,0,0.03,3.3
df_insn_delete,384.77,-11.47,0,0,0,0,0,0,0,0,-0.01,0
invalidate,258.39,-22.13,0,0,0,0,0,0,0,0,0.02,0
reload_cse_simplify_operands,25.96,10.92,0,0,0,0,0,0,0,0,-0.01,0
df_chain_create_bb_process_use,91.14,22.41,0,0,0,0,0,0,0,0,0.03,0
process_bb_for_costs,10.33,16.21,0,0,0,0,0,0,0,0,0.01,0
mark_dfs_back_edges,35.52,43.8,0,0,0,0,0,0,0,0,0.01,0
df_md_local_compute,12.41,40.29,390.08,-11,0,33.33,0,0,0,0,0.01,15.9
rest_of_handle_combine,26.82,14.93,0,0,0,0,0,0,0,0,0,0
process_defs,46.88,41.95,85.72,50.55,0,0,0,0,0,0,0.02,13.7
df_install_ref,200,40.84,0,0,0,0,0,0,0,0,-0.05,0
fold_comparison,86.16,3.28,0,0,0,0,0,0,0,0,-0.03,-0.1
fold_convert_loc,0,20.35,0,0,0,0,0,0,0,0,-0.01,-1.2
next_nonnote_insn,0,100,0,0,0,0,0,0,0,0,0,0
maybe_canonicalize_comparison_1,5,37.03,0,0,0,0,0,0,0,0,-0.01,0
dominated_by_p,0,58.98,0,0,0,0,0,0,0,0,0,0
iterative_hash_expr,6.76,14.11,0,0,0,0,0,0,0,0,-0.09,0
is_gimple_reg,-18.19,36.36,0,0,0,0,0,0,0,0,0.01,16
volatile_refs_p,0,83.33,0,0,0,0,0,0,0,0,-0.06,0
df_md_bb_local_compute_process_def,0,33.34,0,0,0,0,0,0,0,0,-0.01,0
note_uses,0,31.82,0,0,0,0,0,0,0,0,-0.01,0
df_simulate_initialize_backwards,0,54.84,0,0,0,0,0,0,0,0,0,0
remove_from_deps,200,-6.57,0,0,0,0,0,0,0,0,-0.01,0
push_allocno_to_stack,278.61,-11.4,0,0,0,0,0,0,0,0,-0.02,0
compute_dominance_frontiers,-4.59,27.11,0,0,0,0,0,0,0,0,0.07,0
connect_infinite_loops_to_exit,-0.92,38.25,0,0,0,0,0,0,0,0,-0.03,0
copyprop_hardreg_forward,25.24,25.66,0,0,0,0,1930,-47.53,0,0,-0.03,0
gimple_expand_cfg,183.9,5.62,465.72,3.25,239.35,-22.13,0,0,0,0,0.03,5.1
rest_of_clean_state,0,0,0,0,0,0,0,0,0,0,-0.02,0
integer_zerop,9,33.98,195,41.36,0,0,0,0,0,0,0.04,10.9
tree_strip_nop_conversions,0,50.77,0,0,0,0,0,0,0,0,0,0
add_control_edge,88.89,30.94,0,0,0,0,0,0,0,0,0.01,19.7
free_deps,0,51.85,0,0,0,0,0,0,0,0,0.06,0
gimple_redirect_edge_and_branch,247.1,10.21,42.28,-5.23,-9.1,27.27,0,0,0,0,0.01,6.4
compact_blocks,97.15,59.79,-30,100,75,87.5,0,0,0,100,0.05,38
rest_of_handle_final,161.3,11.98,0,0,0,0,0,0,0,0,0,-1.9
bitmap_first_set_bit,0,100,0,0,0,0,0,0,0,0,0.09,9.5
asm_noperands,0,12.07,0,0,0,0,0,0,0,0,0.01,0
bitmap_ior_and_into,188.76,47.3,0,0,0,0,0,0,0,0,-0.02,0
dom_opt_enter_block,90.58,-0.08,122.1,37.7,908,-13.65,0,0,0,0,0.05,2.2
assign_dfs_numbers,22.23,100,0,100,-25,75,0,0,0,0,0.01,16.7
cleanup_dead_labels,1543.06,-27.12,0,0,0,0,0,0,0,0,0,0
insn_extract,-12.87,8.37,0,0,0,0,0,0,0,0,0,0
gimple_purge_dead_eh_edges,0,46.16,0,0,0,0,0,0,0,0,-0.04,0
forwarder_block_p,-23.08,58.26,0,0,0,0,0,0,0,0,-0.02,0
copy_rtx_if_shared_1,86.49,69.09,0,0,0,0,0,0,0,0,0,0
simplify_const_relational_operation,-6.38,6.94,0,0,0,0,0,0,0,0,0,0
prepare_block_for_update,-2.82,43.51,260.53,72.47,0,0,0,0,0,0,0.03,13.4
execute_build_cfg,394.66,-22.23,316.71,-3.01,1060.61,-59.88,0,0,0,0,0.03,2
rest_of_handle_peephole2,87.81,14.65,0,0,0,0,0,0,0,0,-0.03,0
rest_of_handle_ud_dce,20.77,23.39,0,0,0,0,0,0,0,0,-0.01,0
tree_int_cst_compare,0,0,0,0,0,0,0,0,0,0,0,0
rtx_equal_p,-3.07,42.69,0,0,0,0,0,0,0,0,-0.09,0
general_operand,4.47,17.86,0,0,0,0,0,0,0,0,0,0
validate_change_1,91.67,66.31,0,0,0,0,0,0,0,0,-0.04,0
cached_nonzero_bits,0,61.91,0,0,0,0,0,0,0,0,0,0
next_dom_son,0,90,0,0,0,0,0,0,0,0,0,0
_succ_iter_cond,5.92,9.82,26.17,20.04,-10,46.67,0,0,0,0,0.01,7.9
rtx_cost,110,22.74,0,0,0,0,0,0,0,0,0.01,0
try_bitmap_cache,0,75,0,0,0,0,0,0,0,0,0.01,12.1
insn_default_latency,0,0,0,0,0,0,0,0,0,0,-0.03,0
_succ_iter_cond,5.92,9.82,26.17,20.04,-10,46.67,0,0,0,0,0.01,7.9
df_refs_verify,22.23,45.46,0,0,0,0,0,0,0,0,-0.01,0
internal_state_transition,0,37.59,0,0,0,0,0,0,0,0,-0.05,0
preprocess_constraints,12.5,8.49,0,0,0,0,0,0,0,0,0.02,0
reg_set_to_hard_reg_set,0,75,0,0,0,0,0,0,0,0,0,0
find_best_expr,34.99,5.81,0,0,0,0,0,0,0,0,0.01,0
fill_vec_av_set,321.71,-4.57,0,0,0,0,8133.34,0,0,0,0,0
walk_aliased_vdefs_1,0,67.85,0,0,0,0,0,0,0,0,0,0
sched_scan,29.33,20.3,0,0,0,0,0,0,0,0,0,0
get_all_dominated_blocks,27.66,56.03,0,0,0,0,0,0,0,0,0.02,0
execute_update_addresses_taken,52.1,33.73,0,0,0,0,0,0,0,0,-0.02,0
coalesce_ssa_name,80.13,-17.06,212.7,15,786.05,-59.83,0,0,0,100,0.01,4.1
df_chain_finalize,359.48,-1.16,0,0,0,0,0,0,0,0,0.03,0
lookup_constraint,0,0,0,0,0,0,0,0,0,0,-0.01,0
df_lr_transfer_function,0,71.42,0,0,0,0,0,0,0,0,-0.01,0
cselib_lookup_1,248.34,-13.96,16.67,66.66,0,100,0,0,0,0,0.06,9.9
subst,-4.46,27.32,0,0,0,0,0,0,0,0,-0.02,0
optimize_bb_for_speed_p,0,15.15,0,0,0,0,0,0,0,0,0,0
moveup_expr_cached,4.87,28.23,0,0,0,0,0,0,0,0,0.01,0
sreal_mul,100,100,0,0,0,0,0,0,0,0,0,0
expand_vector_operations,148.97,1.94,0,0,0,0,0,0,0,0,-0.01,0
df_chain_remove_problem,153.24,12.79,0,0,0,0,0,0,0,0,0.03,0
finish_spills,1.41,11.81,0,0,0,0,0,0,0,0,-0.02,0
rest_of_pass_free_cfg,0,0,0,0,0,0,0,0,0,0,-0.01,0
tree_ssa_strip_useless_type_conversions,0,40,0,0,0,0,0,0,0,0,0,0
alloc_INSN_LIST,0,0,0,0,0,0,0,0,0,0,0,0
free_INSN_LIST_list,45.46,32.38,0,0,0,0,0,0,0,0,0,0
memory_operand,0,0,0,0,0,0,0,0,0,0,0,0
record_set,0,31.58,-50,100,-50,100,0,0,0,0,0.05,13.2
mark_insn,152.18,25.41,0,0,0,0,0,0,0,0,-0.03,0
df_set_bb_dirty,80,100,0,0,0,0,0,0,0,0,0,0
refers_to_regno_p,-8.11,26.23,0,0,0,0,0,0,0,0,-0.02,0
recog_32,7.62,0.97,0,0,0,0,0,0,0,0,-0.09,0
bitmap_equal_p,0,50,0,0,0,0,0,0,0,0,0,0
df_insn_rescan,811.95,-1.75,0,0,0,0,0,0,0,0,0.03,0
evaluate_stmt,9.8,35.41,0,0,0,0,0,0,0,0,0,0
find_func_aliases,218.04,8.75,0,0,0,0,0,0,0,0,-0.02,0
final_scan_insn,2.43,9.26,0,0,0,0,0,0,0,0,-0.02,0
advance_one_cycle,1.12,23.63,0,0,0,0,0,0,0,0,0.02,0
df_bb_refs_record,683.51,11.76,0,0,0,0,0,0,0,0,0,0
bitmap_find_leader,5.64,51.32,0,0,0,0,0,0,0,0,-0.02,0
df_reorganize_refs_by_insn_bb,4.66,24.09,0,0,0,0,0,0,0,0,0.01,0
et_split,79.42,64.66,0,0,61.54,69.23,0,0,0,0,0.01,28.8
htab_expand,16,18.94,300,97.23,0,0,0,0,0,0,0.04,13.6
calc_dfs_tree,19.53,71.84,0,0,0,0,0,0,0,0,0,0
iterate_fix_dominators,35.15,23.69,0,0,0,0,0,0,0,0,-0.01,0
df_rd_local_compute,33.74,26.44,0,0,0,0,0,0,0,0,-0.01,0
find_costs_and_classes,5.28,7.87,0,0,0,0,0,0,0,0,0.02,0
df_get_bb_dirty,0,100,0,0,0,0,0,0,0,0,0,0
set_noop_p,3.71,16.8,0,0,0,0,0,0,0,0,0.06,6.7
copy_expr,20.13,23.41,0,0,0,0,0,0,0,0,-0.01,0
av_set_iter_remove,-25,66.67,-20,20,100,100,0,0,0,0,0.02,23.4
nonzero_bits1,-9.69,43.64,0,0,0,0,0,0,0,0,0,0
insn_contains_asm_1,0,100,0,0,0,0,0,0,0,0,-0.02,0
twoval_comparison_p,32.5,78.12,0,0,0,0,0,0,0,0,0,0
confirm_change_group,26.67,24.56,-16.67,0,0,100,0,0,0,0,0.01,25.8
cselib_process_insn,15.53,10.5,0,0,0,0,0,0,0,0,-0.08,0
bitmap_clear_range,44.6,48.78,0,0,0,0,0,0,0,0,-0.04,0
sched_analyze_reg,1.87,-0.39,0,0,0,0,0,0,0,0,0.01,0.7
extract_asm_operands,0,70,0,0,0,0,0,0,0,0,0,0
canonicalize_float_value,0,11.22,0,0,0,0,0,0,0,0,-0.01,0
insn_nothrow_p,0,6.25,0,0,0,0,0,0,0,0,0.04,1.6
walk_stmt_load_store_addr_ops,19.25,20.82,0,0,0,0,0,0,0,0,0.02,0
canon_reg,0,32.56,5.56,10.53,0,0,0,0,-20,0,0.03,3.9
mark_block_for_update,27.78,38.16,0,0,0,0,0,0,0,0,-0.01,0
df_refs_add_to_chains,32.81,38.68,0,0,0,0,0,0,0,0,0.03,0
bitmap_and_compl_into,72.35,45.39,0,0,0,0,-33.34,-33.34,0,0,-0.03,0
df_def_record_1,-21.22,45.8,0,0,0,0,0,0,0,0,0.03,7.4
combine_simplify_rtx,51.44,2.29,0,0,0,0,0,0,0,0,-0.02,0
compare_range_with_value,9.9,31.25,0,0,0,0,0,0,0,0,-0.01,0
pointer_set_insert,20.69,17.83,75,71.43,0,0,0,0,0,0,0.04,11.1
df_rd_bb_local_compute_process_def,0,36,0,0,0,0,0,0,0,0,0.02,0
potentially_threadable_block,0,35.29,0,0,0,0,0,0,0,0,0,0
code_motion_path_driver,447.75,-27.11,0,0,0,0,0,0,0,0,0,0
elimination_effects,2.26,12.04,0,0,0,0,1142.86,-6.57,0,0,0.01,0
insn_line,0,0,0,0,0,0,0,0,0,0,-0.02,0
copy_prop_visit_stmt,16.38,11.03,-15.79,18.75,0,0,0,0,0,0,0.02,4.3
mark_def_interesting,93.79,1.94,0,0,0,0,0,0,0,0,0.01,0
fill_insns,322.64,-21.53,1591.12,-18.43,1093.75,-48.56,0,0,0,0,0.03,5.9
set_allocno_live,6.07,43.75,0,0,0,0,0,0,0,0,0,0
add_copies,13.9,21.78,0,0,0,0,0,0,0,0,-0.02,0
create_loop_tree_node_allocnos,-6.07,42.71,0,0,0,0,0,0,0,0,0,0
process_bb_node_for_hard_reg_moves,21.52,53.74,0,0,0,0,0,0,0,0,0,0
insert_updated_phi_nodes_for,59.58,13.68,0,0,0,0,0,0,0,0,-0.01,0
delete_unreachable_blocks,10.35,24.56,5,7.86,0,0,0,0,0,0,0.04,4.3
init_dom_info,780,68.64,0,0,0,0,0,0,0,0,-0.01,0
walk_dominator_tree,96.8,53.17,0,0,0,0,0,0,0,0,-0.05,0
blocks_in_phiopt_order,242.43,-14.11,0,0,0,0,0,0,0,0,-0.01,0
tree_ssa_forward_propagate_single_use_vars,1587.09,-25.32,0,0,0,0,0,0,0,0,-0.04,0
if_convert,73.84,-6.08,0,0,0,0,0,0,0,0,-0.05,0
propagate_freq,272.49,-1.91,95.62,5.56,0,40,0,0,0,0,0.01,8.8
reload_cse_regs_1,-14.29,32.44,0,0,0,0,0,0,0,0,-0.01,0
cleanup_barriers,0,25,0,0,0,0,0,0,0,0,0,0
fwprop_addr,51.86,77.87,0,0,0,0,0,0,0,0,0,0
regmove_optimize,56.25,15.05,0,0,0,0,5200,0,0,0,0.02,0
reload_cse_regs,1.36,21.02,0,0,0,0,5100,-58.84,0,0,0.01,0
ix86_rtx_costs,5.21,37.11,0,0,0,0,0,0,0,0,-0.02,0
get_attr_memory,0,0,0,0,0,0,0,0,0,0,0.02,0
tree_int_cst_equal,0,53.34,0,0,0,0,0,0,0,0,-0.03,0
xmalloc,0,0,0,0,0,0,0,0,0,0,-0.01,0
tree_swap_operands_p,0,23.81,0,0,0,0,0,0,0,0,-0.02,0
df_sort_and_compress_refs,-5.8,15.43,0,0,0,0,0,0,0,0,-0.06,0
needs_to_live_in_memory,0,0,0,0,0,0,0,0,0,0,0,0
get_immediate_dominator,0,87.5,0,0,0,0,0,0,0,0,0,0
htab_find_with_hash,-9.44,47.16,0,0,0,0,0,0,0,0,0,0
first_dom_son,0,100,0,0,0,0,0,0,0,0,0,0
sched_insns_conditions_mutex_p,0,7.77,0,0,0,0,0,0,0,0,0,0
check_mem_read_rtx,210.34,-32.57,263.53,16.04,3.58,18.23,0,0,0,0,0.04,5.5
cached_num_sign_bit_copies,0,61.91,0,0,0,0,0,0,0,0,-0.02,0
floor_log2,0,0,0,0,0,0,0,0,0,0,0,0
sched_analyze_1,1.59,17.07,0,0,0,0,0,0,0,0,0,0
rescan_loop_exit,27.82,32.03,135.49,59.53,50,81.25,0,0,0,0,0.02,18.5
make_node_stat,31.58,-1.9,44.45,-3.42,0,0,0,0,0,0,0.03,3.3
def_blocks_eq,0,100,0,0,0,0,0,0,0,0,0.02,26.6
build_int_cst_wide,12.5,29.17,0,0,0,0,0,0,0,0,-0.01,0
get_expr_value_id,0,33.33,0,0,0,0,0,0,0,0,-0.02,0
compress,-3.85,84.46,0,0,0,0,0,0,0,0,-0.03,0
linemap_lookup,0,60,0,0,0,0,0,0,0,0,0,0
avail_expr_hash,0,4.54,0,0,0,0,0,0,0,0,0.01,0
dep_cost_1,0,50,0,0,0,0,0,0,0,0,0,0
mark_operand_necessary,6.07,38.44,0,0,0,0,0,0,0,0,0.05,17.7
mostly_copy_tree_r,0,100,0,0,0,0,0,0,0,0,0,0
compute_av_set_inside_bb,34.18,-2.45,0,0,0,0,0,0,0,0,0.01,0
sd_find_dep_between_no_cache,0,29.8,0,0,0,0,0,0,0,0,0,0
compute_av_set_at_bb_end,128.17,-9.85,0,0,0,0,0,0,0,0,0,0
update_stmt_operands,307.34,-22.91,10.44,30.62,100,23.91,0,0,0,0,0.05,4.3
record_value_for_reg,30.49,33.51,0,0,0,0,1000,0,0,0,-0.03,0
remove_insn,-1.64,10.32,0,0,0,0,0,0,0,0,-0.03,0
extract_true_false_edges_from_block,16.67,100,0,0,0,0,0,0,0,0,0,0
cselib_invalidate_mem,261.06,-16.2,0,0,0,0,0,0,0,0,-0.01,0
simplify_subreg,30.45,18.21,84.12,26.52,182.61,11.1,0,0,0,0,0.01,2.8
create_insn_allocnos,0,7.55,0,0,0,0,0,0,0,0,0,0
ssa_redirect_edge,0,60.98,172.73,87.57,0,0,0,0,0,0,0.01,15.1
visit_use,1198.09,17.28,0,0,0,0,0,0,0,0,-0.02,0
_cpp_clean_line,61.08,18.92,0,0,0,0,0,0,0,0,0.01,0
vrp_visit_stmt,2.18,26.45,0,0,0,0,0,0,0,0,-0.01,0
vn_reference_lookup,3.34,24.3,0,0,0,0,0,0,0,0,-0.02,0
dse_enter_block,406.82,-2.04,0,0,0,0,0,0,0,0,0,0
first_stmt,0,50,0,0,0,0,0,0,0,0,0,0
split_bbs_on_noreturn_calls,62.17,58.61,0,0,0,0,0,0,0,0,0.01,0
simplify_shift_const_1,350.86,39.19,0,0,0,0,0,0,0,0,0,0
gimple_alloca_call_p,0,0,0,0,0,0,0,0,0,0,0,0
mark_def_sites_block,46.61,12.34,0,0,0,0,0,0,0,0,-0.01,0
keep_with_call_p,20.46,48.97,0,0,0,0,0,0,0,0,0.01,17.9
sched_rgn_compute_dependencies,25.79,13.57,0,0,0,0,0,0,0,0,-0.02,0
df_simulate_find_defs,0,84.61,0,0,0,0,0,0,0,0,0,0
build_allocno_conflicts,-2.41,48.61,160,69.24,0,26.67,0,0,0,0,0.01,31.2
dead_or_predicable,376.18,11.4,0,0,0,0,0,0,0,0,0.02,0
thread_block,102.64,47.57,0,0,0,0,0,0,0,0,-0.01,0
insert_expr_in_table,0,11.63,0,0,0,0,0,0,0,0,0,0
df_process_deferred_rescans,38.64,25.41,0,0,0,0,0,0,0,0,0.02,0
loop_optimizer_finalize,-14.29,73.81,0,0,0,0,0,0,0,0,0.02,0
df_live_alloc,49.28,29.4,0,0,0,0,0,0,0,0,0,0
recompute_dominator,52.04,6.48,0,0,0,0,0,0,0,0,0,0
renumber_gimple_stmt_uids,13.05,54.18,0,0,0,0,0,0,0,0,0,0
find_many_sub_basic_blocks,640.29,0.88,0,0,0,0,0,0,0,0,0.01,0
fold_cond_expr_cond,101.48,54.48,2075.93,11.68,0,0,0,0,0,0,0.01,23
df_scan_free_internal,55.34,36.85,0,0,0,0,0,0,0,0,-0.01,0
partition_view_init,-19.52,40.69,146.67,71.71,0,0,0,0,0,0,0.02,26.7
reassociate_bb,195.2,-1.51,0,0,0,0,0,0,0,0,0,0
expand_phi_nodes,53.19,-12.5,0,0,0,0,0,0,0,0,0,0
reload_as_needed,6.93,11.67,0,0,0,0,0,0,0,0,-0.04,-0.1
reorder_basic_blocks,30.36,26.19,0,0,0,0,0,0,0,0,0,0
rest_of_handle_initialize_regs,-1.58,40.02,0,0,0,0,0,0,0,0,-0.03,0
split_critical_edges,14.29,27.78,0,0,0,0,0,0,0,0,-0.01,0
legitimate_constant_p,0,21.43,0,0,0,0,0,0,0,0,0,0
check_promoted_subreg,3,9.75,0,0,0,0,0,0,0,0,-0.02,0
rtx_equal_for_cselib_p,115.31,27.68,0,0,0,0,0,0,0,0,0,0
commutative_operand_precedence,0,77.77,0,0,0,0,0,0,0,0,0.03,25.3
for_each_rtx,0,100,0,0,0,0,0,0,0,0,0,0
rtx_alloc_stat,0,0,0,0,0,0,0,0,0,0,0,0
ix86_delegitimize_address,-5,41.87,0,0,0,0,0,0,0,0,0.05,0
stmt_can_throw_internal,0,0,0,0,0,0,0,0,0,0,0.01,0
ix86_legitimate_address_p,0,3.54,0,0,0,0,0,0,0,0,0.03,0
commutative_tree_code,0,0,0,0,0,0,0,0,0,0,-0.01,0
